N,Sparsity (%),Matrix Representation,Performance (ms)
20000,60,Naive,8600
20000,60,Naive,8900
20000,60,Naive,8800
20000,70,Naive,8900
20000,70,Naive,9400
20000,70,Naive,8400
20000,80,Naive,9400
20000,80,Naive,8500
20000,80,Naive,8400
20000,90,Naive,9300
20000,90,Naive,9300
20000,90,Naive,8400
20000,99,Naive,9000
20000,99,Naive,9300
20000,99,Naive,9200
5000,90,Naive,420
5000,90,Naive,370
5000,90,Naive,390
10000,90,Naive,1800
10000,90,Naive,1600
10000,90,Naive,1700
15000,90,Naive,3900
15000,90,Naive,3900
15000,90,Naive,4200
25000,90,Naive,15200
25000,90,Naive,17000
25000,90,Naive,15200
30000,90,Naive,31000
30000,90,Naive,28600
30000,90,Naive,29100
20000,60,CSR,10200
20000,60,CSR,10400
20000,60,CSR,10700
20000,70,CSR,7800
20000,70,CSR,7800
20000,70,CSR,8000
20000,80,CSR,5900
20000,80,CSR,6400
20000,80,CSR,5700
20000,90,CSR,3700
20000,90,CSR,3800
20000,90,CSR,3900
20000,99,CSR,1800
20000,99,CSR,1700
20000,99,CSR,1800
5000,90,CSR,290
5000,90,CSR,240
5000,90,CSR,280
10000,90,CSR,900
10000,90,CSR,900
10000,90,CSR,900
15000,90,CSR,2000
15000,90,CSR,2200
15000,90,CSR,2100
25000,90,CSR,5900
25000,90,CSR,7100
25000,90,CSR,5800
30000,90,CSR,8700
30000,90,CSR,8500
30000,90,CSR,8500
20000,60,COO,12600
20000,60,COO,12900
20000,60,COO,13300
20000,70,COO,9700
20000,70,COO,9500
20000,70,COO,9400
20000,80,COO,6900
20000,80,COO,7000
20000,80,COO,7200
20000,90,COO,4600
20000,90,COO,4400
20000,90,COO,4700
20000,99,COO,2200
20000,99,COO,1900
20000,99,COO,2100
5000,90,COO,340
5000,90,COO,270
5000,90,COO,350
10000,90,COO,1000
10000,90,COO,1000
10000,90,COO,1100
15000,90,COO,2300
15000,90,COO,2800
15000,90,COO,2500
25000,90,COO,6800
25000,90,COO,8100
25000,90,COO,7000
30000,90,COO,9600
30000,90,COO,10800
30000,90,COO,10100
20000,100,Naive,8500
20000,100,Naive,9700
20000,100,Naive,9200
20000,100,CSR,1500
20000,100,CSR,1500
20000,100,CSR,1500
20000,100,COO,1600
20000,100,COO,1600
20000,100,COO,1600